Study_Hours,Attendance_Percent,Previous_Score,Passed
5.7,89.1,57.0,Yes
4.6,73.8,66.0,Yes
6.0,94.6,73.0,Yes
7.5,69.4,77.0,Yes
4.4,87.3,53.0,Yes
4.4,100.0,63.0,Yes
7.6,73.1,61.0,Yes
6.2,83.7,59.0,Yes
4.0,82.9,88.0,Yes
5.8,77.5,72.0,No
4.0,68.0,52.0,No
4.0,82.6,78.0,Yes
5.2,72.4,92.0,Yes
1.4,86.3,79.0,Yes
1.7,73.7,49.0,No
3.8,95.9,61.0,No
3.0,75.0,82.0,Yes
5.4,79.1,59.0,Yes
3.2,89.3,72.0,Yes
2.3,70.9,76.0,No
7.4,84.0,56.0,No
4.4,93.8,66.0,No
4.9,67.5,35.0,No
2.2,83.7,55.0,No
3.8,84.3,64.0,No
5.0,89.0,52.0,No
2.7,70.9,87.0,Yes
5.5,70.1,50.0,Yes
3.7,86.7,62.0,Yes
4.3,84.7,69.0,No
3.7,84.3,84.0,Yes
8.1,85.1,50.0,Yes
4.8,75.9,81.0,No
2.9,84.1,67.0,Yes
6.3,84.6,55.0,Yes
2.6,75.6,73.0,No
5.2,98.8,69.0,No
1.3,86.3,60.0,Yes
2.4,71.3,68.0,No
5.2,87.9,62.0,Yes
6.1,73.2,68.0,No
5.1,89.1,75.0,Yes
4.6,92.4,86.0,Yes
4.3,74.6,52.0,No
2.1,90.7,93.0,Yes
3.5,85.7,44.0,No
4.0,89.4,65.0,No
6.7,99.1,74.0,Yes
5.4,79.8,70.0,Yes
1.6,75.2,60.0,No
5.4,74.0,65.0,Yes
4.1,74.7,61.0,No
3.6,81.3,60.0,No
5.9,85.1,77.0,Yes
4.7,84.5,71.0,Yes
6.5,89.4,59.0,Yes
3.3,82.1,78.0,Yes
4.2,95.1,71.0,Yes
5.4,79.6,77.0,Yes
6.6,100.0,75.0,Yes
3.9,87.6,57.0,Yes
4.5,74.3,60.0,Yes
2.8,72.4,76.0,No
2.6,86.3,74.0,Yes
6.3,80.0,67.0,Yes
7.2,88.4,68.0,Yes
4.7,86.3,82.0,Yes
6.6,81.3,60.0,Yes
5.5,74.4,74.0,Yes
3.6,68.4,65.0,No
5.5,78.0,64.0,No
7.6,89.7,80.0,Yes
4.7,83.9,77.0,Yes
7.6,70.8,77.0,Yes
1.0,83.6,83.0,Yes
6.3,85.5,67.0,Yes
5.0,74.0,75.0,Yes
4.3,83.4,63.0,No
5.0,82.5,71.0,No
1.2,71.7,65.0,No
4.4,85.2,68.0,Yes
5.4,87.0,74.0,Yes
7.5,91.7,57.0,No
3.9,91.5,92.0,Yes
3.3,69.6,55.0,No
3.9,73.6,52.0,No
6.4,86.6,81.0,Yes
5.4,86.6,76.0,Yes
3.8,86.6,67.0,No
5.7,100.0,75.0,Yes
5.0,87.1,67.0,Yes
6.5,92.2,56.0,Yes
3.5,90.6,68.0,No
4.2,87.9,59.0,Yes
4.1,79.2,79.0,Yes
2.2,88.8,65.0,No
5.3,75.0,57.0,No
5.3,79.9,63.0,No
4.8,77.6,72.0,No
4.4,82.7,60.0,No
2.3,100.0,57.0,Yes
4.0,65.2,70.0,No
4.2,88.2,70.0,No
3.4,67.5,61.0,No
4.5,77.8,61.0,No
5.5,91.8,70.0,Yes
8.2,82.6,50.0,Yes
5.1,72.3,50.0,No
5.3,75.6,58.0,No
4.7,88.1,64.0,No
1.3,75.4,71.0,No
4.8,83.9,85.0,No
4.9,82.4,77.0,No
9.2,76.1,65.0,Yes
4.5,100.0,67.0,Yes
5.3,87.7,55.0,No
4.7,63.8,67.0,No
2.7,83.7,64.0,No
6.9,76.0,71.0,Yes
6.2,89.7,57.0,Yes
