Study_Hours,Attendance_Percent,Previous_Score,Passed
6.4,60,85,1
4.1,96,61,0
7.0,65,53,0
5.9,57,64,0
1.7,80,82,0
7.8,72,71,1
6.3,92,79,1
6.5,91,64,1
1.9,69,70,0
4.2,98,51,1
3.6,68,75,0
7.5,78,46,1
5.5,67,73,1
6.8,97,82,1
4.1,62,42,0
2.6,57,69,0
4.9,75,40,0
1.4,100,75,0
6.8,95,40,1
5.4,89,86,1
6.3,95,43,1
3.5,95,88,1
7.8,78,79,1
7.3,69,68,1
6.4,90,78,1
2.4,85,79,0
4.3,72,87,1
1.3,59,49,0
2.1,89,67,0
5.8,67,40,1
6.2,97,69,1
7.8,66,44,1
3.3,61,66,0
3.6,92,66,1
4.3,62,61,1
2.3,63,64,0
1.9,82,77,0
4.3,94,79,0
2.6,64,62,0
5.7,69,68,1
4.1,90,86,1
6.8,99,42,1
5.9,78,41,0
3.2,61,40,0
6.8,56,71,1
6.6,65,58,1
3.7,61,78,1
3.0,85,72,0
5.8,60,53,1
2.0,78,84,0
2.4,86,77,0
1.1,81,50,0
6.5,64,55,1
5.7,91,52,1
5.9,87,44,1
6.5,88,43,1
4.2,61,86,0
5.0,61,59,1
2.0,97,56,1
1.8,73,75,0
5.7,69,65,0
4.3,77,86,1
5.0,85,78,1
6.4,98,61,1
5.4,68,56,0
4.9,97,89,1
4.9,56,74,1
3.1,80,87,1
1.2,84,42,0
4.1,60,82,0
2.5,61,70,0
3.9,74,42,0
7.0,98,67,1
2.6,82,73,0
1.4,97,36,0
3.0,91,60,0
3.1,76,80,1
5.6,90,51,0
4.9,56,60,0
6.5,60,59,0
5.7,92,52,1
3.8,91,86,1
6.7,65,78,1
2.2,79,41,0
1.2,82,90,0
1.6,94,83,1
6.1,82,51,1
4.2,74,81,1
2.1,72,41,0
4.5,74,90,1
2.1,84,72,0
5.9,94,71,1
4.1,75,40,1
3.7,66,84,0
3.1,66,37,0
5.4,89,48,0
3.5,92,43,0
1.6,60,78,0
1.8,58,46,0
7.7,82,85,1
7.4,62,71,1
5.9,92,37,1
2.9,69,35,0
7.8,61,38,1
6.5,96,68,1
6.0,62,79,1
4.1,68,48,0
2.9,62,82,0
1.7,60,38,0
7.3,56,79,1
4.2,57,86,1
2.4,63,77,0
3.1,57,73,0
5.1,82,81,1
2.2,86,37,0
7.0,73,46,1
6.3,69,42,1
6.0,78,63,1
4.0,94,76,1
5.4,93,70,0
5.1,57,82,0
5.5,63,44,0
1.6,66,75,0
3.9,66,46,0
1.3,81,50,0
4.5,74,74,0
3.3,57,89,0
2.0,72,69,0
1.7,79,38,0
5.1,60,69,0
2.2,93,37,0
7.5,57,84,1
5.1,97,74,1
3.4,59,45,0
5.1,93,40,0
1.2,96,45,0
7.7,99,89,1
4.4,91,60,1
6.5,90,78,1
1.6,84,70,0
4.4,90,66,1
4.4,61,43,0
7.6,79,87,1
5.0,78,52,0
4.3,94,67,1
2.9,76,73,1
3.3,72,71,0
4.6,84,87,1
4.1,67,43,0
1.2,61,63,0
6.8,77,57,1
7.3,74,61,1
2.0,65,42,0
4.9,72,42,0
1.8,71,50,0
5.7,70,52,1
3.0,72,59,0
5.6,86,69,1
6.1,68,70,1
6.4,98,58,1
